Place_name,Category,address,working_time,spending_time,off_link,cult_significance,information,tiket_price,city
Музей Центральной азии,Музей,"ул. Фурманова 85, г. Алматы",Пн-Вс: 10:00 - 18:00,3 часа,https://religions-congress.org/ru/news/k-prog/1557,10,Этот музей является одним из крупнейших в Казахстане и представляет собой уникальную коллекцию искусства и артефактов из разных стран Центральной Азии. Посетители могут ознакомиться с историей и культурой этого региона через выставки и интерактивные мероприятия.,500-1000 тенге,Алматы
Государственный музей искусства имени Кастеева,Музей,"ул. Сатпаева 30а, г. Алматы",Пн-Вс: 10:00 - 18:00,1 час,https://www.gmirk.kz/ru/,6,"Этот музей является центром изобразительного искусства в Казахстане. Он представляет широкий спектр коллекций, включая произведения современных искусственных казахстанских художников, а также классические произведения мирового искусства.",500-1000 тенге,Алматы
Музей истории города Алматы,Музей,"ул. Фурманова 75, г. Алматы",Ср-Вс: 10:00 - 18:00,4 часа,https://culturemap.kz/ru/object/muzeiy-istorii-goroda-almaty,7,"Этот музей посвящен богатой истории и культуре города Алматы. Он представляет экспозиции, рассказывающие о развитии города с древних времен до современности, его архитектуре, образе жизни и культурных традициях.",500-800 тенге,Алматы
Музей Национального музыкального инструмента,Музей,"ул. Курмангазы 59, г. Алматы",Пн-Вс: 10:00 - 18:00,1.5 часа,https://yqlasmusmuseum.kz/,7,"В этом музее представлена уникальная коллекция национальных музыкальных инструментов Казахстана. Посетители могут узнать о различных инструментах, их истории и использовании в музыкальной культуре страны.",300-500 тенге,Алматы
Государственный музей искусства имени Шакена Айманова,Музей,"пр. Тауелсиздик 44, г. Астана",Пн-Вс: 10:00 - 18:00,2 часа,https://csmrk.kz/index.php/about-muz-menu/34-cat-actions,9,"Этот музей посвящен творчеству выдающегося казахстанского художника Шакена Айманова. Он представляет различные живописные и графические произведения художника, а также рассказывает о его жизни и творческом пути.",500-1000 тенге,Астана
Государственный музей истории Казахстана,Музей,"пр. Тауелсиздик 16, г. Астана",Пн-Вс: 10:00 - 18:00,5 часов,https://csmrk.kz/,9,"Этот музей является ключевым центром для изучения истории и культуры Казахстана. Он представляет обширную коллекцию археологических находок, артефактов, исторических документов и экспонатов, отражающих богатое наследие страны.",500-1000 тенге,Астана
"Музей национальной архитектуры и быта Казахстана ""Этно-мемориал""",Музей,"ул. Бейбитшилик 1, г. Астана",Пн-Вс: 10:00 - 18:00,2 часа,atamekenmap.kz,5,"В этом музее представлена уникальная коллекция архитектурных ансамблей и предметов быта, отражающих традиционную культуру и образ жизни различных этносов Казахстана.",500-800 тенге,Астана
Музей авиации и космонавтики Республики Казахстан,Музей,"пр. Кабанбай батыра 19/1, г. Астана",Пн-Вс: 9:00 - 18:00,3 часа,https://www.goszakup.gov.kz/ru/registry/show_supplier/297594,6,"Этот музей посвящен истории развития авиации и космонавтики в Казахстане. Он представляет экспонаты, связанные с первыми полетами, космическими программами и достижениями казахстанских пилотов и космонавтов.",500-1000 тенге,Астана
Музей истории и культуры Астаны,Музей,"ул. Кабанбай батыра 20, г. Астана",Пн-Вс: 10:00 - 18:00,1.5 часов,https://nmrk.kz/,8,"Этот музей представляет историю и культуру столицы Казахстана - города Астаны (Нур-Султан). Он рассказывает о процессе становления и развития города, его архитектуре, культурных традициях и достопримечательностях.",500-800 тенге,Астана
Музей Шокана Уалиханова,Музей,"ул. М. Горького 20, г. Семей",Пн-Вс: 10:00 - 18:00,3 часа,https://culturemap.kz/ru/object/memorial-nyiy-muzeiy-im-ch-valihanova-altyn-mel,9,"Этот музей посвящен выдающемуся казахстанскому писателю, общественному деятелю и ученому Шокану Уалиханову. Он представляет экспозиции, рассказывающие о жизни и творчестве писателя, его вкладе в культурное наследие Казахстана.",300-500 тенге,Семей
Байтерек,"Памятник, смотровая площадка","пр. Республики, 2",09:00 - 22:00,1-2 часа,https://en.wikipedia.org/wiki/Baiterek_%28monument%29,10,"Символ города, панорамный вид на Астану","700 тг (взрослый), 350 тг (дети)",Астана
Дворец мира и согласия,"Дворец, выставочный зал","пр. Республики, 4",09:00 - 19:00,1-2 часа,https://ru.wikipedia.org/wiki/%D0%94%D0%B2%D0%BE%D1%80%D0%B5%D1%86_%D0%BC%D0%B8%D1%80%D0%B0_%D0%B8_%D1%81%D0%BE%D0%B3%D0%BB%D0%B0%D1%81%D0%B8%D1%8F,8,"Архитектурный памятник, выставки, концерты","500 тг (взрослый), 300 тг (дети)",Астана
Национальный музей Республики Казахстан,Музей,"пр. Республики, 56",09:30 - 18:00,2-3 часа,https://en.wikipedia.org/wiki/National_Museum_of_the_Republic_of_Kazakhstan,9,История и культура Казахстана,"700 тг (взрослый), 350 тг (дети)",Астана
City Park,Парк,"ул. Иманова, 72",Круглосуточно,1-3 часа,https://www.tripadvisor.com/Attraction_Review-g293944-d600764-Reviews-City_Park-Astana_Akmola_Province.html,7,"Отдых на свежем воздухе, аттракционы, кафе",Бесплатно,Астана
Khan Shatyr,Торгово-развлекательный центр,"проспект Кабанбай батыра, 7/1",10:00 - 22:00,2-4 часа,https://www.khanshatyr.com/,8,"Шоппинг, кинотеатр, аттракционы, рестораны","Вход: 1000 тг, аттракционы: от 500 тг",Астана
Медео,"Каток, спортивный комплекс","ул. Гоголя, 1/2",09:00 - 22:00,1-2 часа,https://medeu.kz/,8,"Горнолыжный курорт, каток, музеи","2500 тг (взрослый), 1500 тг (дети)",Алматы
Кок-Тобе,"Гора, парк аттракционов","ул. Ташкентская, 222а",09:00 - 23:00,2-3 часа,https://www.tripadvisor.com/Attraction_Review-g298251-d456939-Reviews-Kok_Tobe_Hill-Almaty.html,9,"Панорамный вид на город, аттракционы, рестораны","2000 тг (взрослый), 1000 тг (дети)",Алматы
Центральный государственный музей Казахстана,Музей,"пр. Абая, 117",09:30 - 18:00,2-3 часа,https://csmrk.kz/index.php/en/mnu-homepage-en/2-uncategorised/213-mat-home-en,9,История и культура Казахстана,"500 тг (взрослый), 300 тг (дети)",Алматы
Парк им. 28 гвардейцев-панфиловцев,Парк,"ул. Панфилова, 101",Круглосуточно,1-3 часа,https://ru.wikipedia.org/wiki/%D0%9F%D0%B0%D1%80%D0%BA_%D0%B8%D0%BC%D0%B5%D0%BD%D0%B8_28_%D0%B3%D0%B2%D0%B0%D1%80%D0%B4%D0%B5%D0%B9%D1%86%D0%B5%D0%B2-%D0%BF%D0%B0%D0%BD%D1%84%D0%B8%D0%BB%D0%BE%D0%B2%D1%86%D0%B5%D0%B2,7,"Отдых на свежем воздухе, памятники, музеи",Бесплатно,Алматы
Чарынский каньон,Природная достопримечательность,Кызыл-Ординская область,Круглосуточно,2-4 часа,[неправильный URL удален],9,"""Малый брат"" Большого каньона, пещеры, водопады","2500 тг (взрослый), 1500 тг (дети)",Кызылорда
Озеро Боровое,"Озеро, курорт",Кокшетауская область,Круглосуточно,1-3 дня,https://borovoe.kz/,8,"Пляжный отдых, водные виды спорта, санатории",Стоимость зависит от санатория/гостиницы,Кокшетау
Евразийский парк,Парк,"пр. Республики, 2",Круглосуточно,1-3 часа,[неправильный URL удален],7,"Отдых на свежем воздухе, аттракционы, фонтаны",Бесплатно,Астана
EXPO 2017,Выставочный комплекс,"ул. 38-я линия, 1",09:00 - 21:00,2-4 часа,[неправильный URL удален],8,"Павильоны стран, Нур-Султан Арена, Сфера","2000 тг (взрослый), 1000 тг (дети)",Астана
Дворец Независимости,Архитектурный памятник,"пр. Республики, 71",10:00 - 18:00,1-2 часа,[неправильный URL удален],8,"Резиденция Президента Казахстана, экскурсии","2500 тг (взрослый), 1500 тг (дети)",Астана
"Аквапарк ""Hawaii""",Аквапарк,"пр. Кабанбай батыра, 3/1",10:00 - 22:00,2-4 часа,[неправильный URL удален],7,"Водные горки, бассейны, сауны","5000 тг (взрослый), 3000 тг (дети)",Астана
"ТРЦ ""Mega Silk Way""",Торгово-развлекательный центр,"ул. Туран, 47",10:00 - 22:00,2-4 часа,[неправильный URL удален],7,"Шоппинг, кинотеатр, боулинг, рестораны","Вход: бесплатно, аттракционы: от 500 тг",Астана
Мангистауский ущелье,Природная достопримечательность,Мангистауская область,Круглосуточно,2-3 часа,[неправильный URL удален],8,"Уникальные скальные образования, реликтовые растения","1000 тг (взрослый), 500 тг (дети)",Актау
"Музей под открытым небом ""Шахристон""",Историко-культурный комплекс,"пр. Независимости, 45",09:00 - 18:00,1-2 часа,[неправильный URL удален],7,"Воссозданный средневековый город, ремесленные мастерские","500 тг (взрослый), 300 тг (дети)",Актау
Парк имени Гафура Акишева,Парк,"ул. Темирбекова, 1",Круглосуточно,1-2 часа,https://www.booking.com/hotel/kz/shymkent-park.html,7,"Отдых на свежем воздухе, аттракционы, фонтаны",Бесплатно,Шымкент
"Аквапарк ""Hawaii""",Аквапарк,"ул. Сарыарки, 2",10:00 - 22:00,2-4 часа,https://en.wikipedia.org/wiki/Shymkent,7,"Водные горки, бассейны, сауны","4000 тг (взрослый), 2500 тг (дети)",Шымкент
"Дельфинарий ""Немо""",Дельфинарий,"ул. Кабанбай батыра, 2/1",10:00 - 18:00,1 час,https://2gis.kz/shymkent/firm/70000001063046788,6,"Шоу с дельфинами, морскими котиками и другими животными","3000 тг (взрослый), 2000 тг (дети)",Шымкент